GEOID,state,chd_prev
36005020400,NY,0.046
36005019300,NY,0.057
36005033202,NY,0.067
36005023704,NY,0.064
36005046201,NY,0.067
36001013801,NY,0.057
36005016400,NY,0.054
36005025100,NY,0.052
36005025600,NY,0.064
36005029500,NY,0.041
36005017300,NY,0.075
36005017702,NY,0.057
36005006800,NY,0.051
36005041400,NY,0.051
36005031400,NY,0.061
36005035600,NY,0.046
36005033400,NY,0.047
36005035900,NY,0.065
36005000100,NY,0.034
36005014701,NY,0.077
36005017500,NY,0.066
36005006200,NY,0.073
36005013200,NY,0.043
36005027600,NY,0.069
36005039100,NY,0.055
36005004400,NY,0.084
36005004100,NY,0.071
36005022703,NY,0.043
36005043100,NY,0.057
36005037200,NY,0.051
36005025500,NY,0.053
36005022101,NY,0.045
36005038900,NY,0.045
36005007600,NY,0.055
36005022401,NY,0.05
36005028900,NY,0.057
36001014402,NY,0.059
36003950600,NY,0.076
36005020900,NY,0.053
36005027300,NY,0.055
36005024100,NY,0.046
36005015300,NY,0.055
36005022902,NY,0.053
36005037000,NY,0.059
36007001100,NY,0.117
36001000300,NY,0.07
36005046000,NY,0.067
36005012500,NY,0.05
36005040302,NY,0.052
36005036000,NY,0.058
36005043000,NY,0.055
36001001700,NY,0.047
36005018900,NY,0.054
36001013706,NY,0.058
36005003500,NY,0.058
36005020200,NY,0.05
36001012900,NY,0.07
36005038600,NY,0.047
36005023301,NY,0.053
36005008900,NY,0.07
36005005100,NY,0.071
36001014700,NY,0.051
36005011800,NY,0.043
36001014203,NY,0.05
36005022800,NY,0.046
36005019900,NY,0.047
36001014609,NY,0.042
36005044400,NY,0.048
36001014608,NY,0.041
36005025700,NY,0.039
36005040501,NY,0.05
36005040304,NY,0.052
36005015700,NY,0.05
36001014100,NY,0.059
36005037504,NY,0.073
36005019700,NY,0.054
36005021800,NY,0.049
36005002701,NY,0.067
36005013800,NY,0.058
36005007400,NY,0.064
36001013300,NY,0.051
36005041800,NY,0.045
36005019400,NY,0.049
36005005400,NY,0.058
36005002800,NY,0.048
36003950500,NY,0.076
36005021601,NY,0.05
36005002000,NY,0.071
36005003900,NY,0.063
36001013601,NY,0.042
36005004800,NY,0.052
36001013703,NY,0.055
36005005902,NY,0.069
36005021002,NY,0.048
36005023000,NY,0.05
36007011902,NY,0.058
36005006000,NY,0.058
36005022102,NY,0.055
36005030900,NY,0.097
